"TIME","GEO","UNIT","ISCEDF13","ISCED11","SEX","Value","Flag and Footnotes"
"2012","Slovenia","Number","Total","Master's or equivalent level - professional","Total",":",""
"2012","Slovenia","Number","Total","Doctoral or equivalent level","Total",":",""
"2012","Latvia","Number","Total","Bachelor's or equivalent level","Total",":",""
"2012","Latvia","Number","Total","Bachelor's or equivalent level - academic","Total",":",""
"2012","Latvia","Number","Total","Bachelor's or equivalent level - professional","Total",":",""
"2012","Latvia","Number","Total","Master's or equivalent level","Total",":",""
"2012","Latvia","Number","Total","Master's or equivalent level - academic","Total",":",""
"2012","Latvia","Number","Total","Master's or equivalent level - professional","Total",":",""
"2012","Latvia","Number","Total","Doctoral or equivalent level","Total",":",""
"2012","Estonia","Number","Total","Bachelor's or equivalent level","Total",":",""
"2012","Estonia","Number","Total","Bachelor's or equivalent level - academic","Total",":",""
"2012","Estonia","Number","Total","Bachelor's or equivalent level - professional","Total",":",""
"2012","Estonia","Number","Total","Master's or equivalent level","Total",":",""
"2012","Estonia","Number","Total","Master's or equivalent level - academic","Total",":",""
"2012","Estonia","Number","Total","Master's or equivalent level - professional","Total",":",""
"2012","Estonia","Number","Total","Doctoral or equivalent level","Total",":",""
"2012","Malta","Number","Total","Bachelor's or equivalent level","Total",":",""
"2012","Malta","Number","Total","Bachelor's or equivalent level - academic","Total",":",""
"2012","Malta","Number","Total","Bachelor's or equivalent level - professional","Total",":",""
"2012","Malta","Number","Total","Master's or equivalent level","Total",":",""
"2012","Malta","Number","Total","Master's or equivalent level - academic","Total",":",""
"2012","Malta","Number","Total","Master's or equivalent level - professional","Total",":",""
"2012","Malta","Number","Total","Doctoral or equivalent level","Total",":",""
"2012","Iceland","Number","Total","Bachelor's or equivalent level","Total",":",""
"2012","Iceland","Number","Total","Bachelor's or equivalent level - academic","Total",":",""
"2012","Iceland","Number","Total","Bachelor's or equivalent level - professional","Total",":",""
"2012","Iceland","Number","Total","Master's or equivalent level","Total",":",""
"2012","Iceland","Number","Total","Master's or equivalent level - academic","Total",":",""
"2012","Iceland","Number","Total","Master's or equivalent level - professional","Total",":",""
"2012","Iceland","Number","Total","Doctoral or equivalent level","Total",":",""
"2012","North Macedonia","Number","Total","Bachelor's or equivalent level","Total",":",""
"2012","North Macedonia","Number","Total","Bachelor's or equivalent level - academic","Total",":",""
"2012","North Macedonia","Number","Total","Bachelor's or equivalent level - professional","Total",":",""
"2012","North Macedonia","Number","Total","Master's or equivalent level","Total",":",""
"2012","North Macedonia","Number","Total","Master's or equivalent level - academic","Total",":",""
"2012","North Macedonia","Number","Total","Master's or equivalent level - professional","Total",":",""
"2012","North Macedonia","Number","Total","Doctoral or equivalent level","Total",":",""
"2012","Luxembourg","Number","Total","Bachelor's or equivalent level","Total",":",""
"2012","Luxembourg","Number","Total","Bachelor's or equivalent level - academic","Total",":",""
"2012","Luxembourg","Number","Total","Bachelor's or equivalent level - professional","Total",":",""
"2012","Luxembourg","Number","Total","Master's or equivalent level","Total",":",""
"2012","Luxembourg","Number","Total","Master's or equivalent level - academic","Total",":",""
"2012","Luxembourg","Number","Total","Master's or equivalent level - professional","Total",":",""
"2012","Luxembourg","Number","Total","Doctoral or equivalent level","Total",":",""
