Country Code,Total graduates ISCED 5-7,Total graduates at ISCED 8
ES,2179,12
ES,741,0
ES,2974,17
ES,4351,26
ES,2586,25
ES,2985,154
ES,3046,29
ES,782,0
ES,3236,0
ES,201,5
ES,1059,a
ES,16197,2
ES,893,7
ES,1280,9
ES,9040,26
ES,2388,152
ES,1303,27
ES,654,13
ES,1745,5
ES,515,10
ES,1973,3
ES,951,19
ES,6321,a
ES,7863,15
ES,4257,18
ES,312,a
ES,576,a
ES,667,41
ES,1219,0
ES,133,a
ES,1147,a
FI,5615,528
FI,3311,196
FI,1018,59
FI,2655,159
FI,2811,141
FI,631,8
FI,1031,24
FI,1259,56
FI,904,25
FI,343,s
FI,3301,242
FI,3018,149
FI,548,10
FI,1137,a
FI,66,a
FI,1933,a
FI,3241,a
FI,726,a
FI,3463,200
FI,2037,a
FI,1291,a
FI,742,a
FI,1027,a
FI,1456,a
FI,899,a
FI,376,a
FI,1343,a
FI,1035,a
FI,2036,a
FI,484,a
FI,518,a
FI,1368,a
FI,387,a
FI,774,a
FI,734,a
FI,568,a
FI,1782,a
FI,319,a
FI,1820,a
FR,1209,41
FR,m,a
FR,482,0
FR,20348,482
FR,8098,132
FR,395,a
FR,m,a
FR,m,a
FR,2630,53
FR,9194,0
FR,m,a
FR,435,a
FR,6087,0
FR,267,a
FR,m,a
FR,m,a
FR,6842,99
FR,m,a
FR,m,a
FR,975,0
FR,1160,43
FR,m,a
FR,m,a
FR,1913,163
FR,6580,70
FR,7610,84
FR,9552,547
FR,m,a
FR,m,a
FR,3672,52
FR,1424,a
FR,203,15
FR,5053,85
FR,m,a
FR,161,6
FR,805,33
FR,9202,194
FR,5537,54
FR,m,a
FR,m,a
FR,m,a
FR,m,a
FR,7093,107
FR,2960,0
FR,441,9
FR,m,a
FR,5361,59
FR,1005,50
FR,12989,234
FR,m,a
FR,5544,74
FR,m,a
FR,m,a
FR,7965,92
FR,m,a
FR,7420,77
FR,20051,307
FR,m,a
FR,3640,29
FR,m,a
FR,m,a
FR,232,a
FR,m,a
FR,m,a
FR,m,a
FR,m,30
FR,4354,40
FR,3089,27
FR,1856,48
FR,m,a
FR,3743,37
FR,m,a
FR,3632,90
FR,m,a
FR,428,a
FR,2817,45
FR,m,a
FR,841,a
FR,15351,288
FR,4267,64
FR,837,35
FR,2372,145
FR,m,a
FR,13579,331
FR,8219,120
FR,m,a
FR,8837,59
FR,119,a
FR,m,a
FR,m,a
FR,m,a
FR,2594,402
FR,3180,68
FR,4857,62
FR,m,a
FR,2773,45
FR,11110,273
FR,4899,82
FR,2927,106
FR,m,m
FR,m,m
FR,3113,88
FR,282,36
FR,a,m
FR,m,a
FR,5834,13
FR,745,89
FR,m,m
FR,290,a
FR,83,3
FR,m,a
FR,61,50
FR,1257,34
FR,m,a
FR,1,32
FR,51,a
FR,m,a
FR,m,a
FR,m,a
FR,m,a
FR,199,197
FR,m,a
FR,m,a
FR,m,a
FR,758,29
FR,7596,138
FR,m,a
FR,2670,24
FR,m,a
FR,m,m
FR,a,213
FR,4021,0
FR,7895,22
FR,m,a
FR,m,a
FR,941,a
FR,3181,35
FR,m,a
FR,1769,30
FR,m,a
FR,396,22
FR,8596,118
FR,5348,80
FR,m,a
FR,1590,0
FR,2740,0
FR,326,a
FR,m,a
FR,m,a
FR,m,a
FR,7327,204
FR,m,a
FR,m,a
FR,m,a
FR,m,a
FR,308,a
FR,6346,53
FR,5021,68
FR,m,a
FR,11248,a
FR,m,a
FR,m,a
FR,m,a
FR,m,a
FR,m,a
FR,458,a
FR,m,a
FR,m,a
FR,m,a
FR,1328,0
FR,2244,30
FR,3550,20
FR,m,m
FR,m,m
FR,148,a
FR,16471,296
FR,681,9
FR,59,4
FR,15242,359
FR,m,m
FR,m,a
FR,m,a
FR,m,a
FR,m,a
FR,m,a
FR,m,a
FR,m,a
FR,m,a
FR,21780,345
FR,14824,625
FR,9094,198
FR,16601,590
FR,7391,97
FR,15272,548
FR,12880,290
FR,m,m
FR,134,93
FR,117,233
FR,17,0
FR,134,93
FR,828,a
FR,666,a
FR,5064,0
FR,479,a
FR,72,a
FR,10004,138
GR,7248,9
GR,1578,0
GR,659,16
GR,1173,38
GR,411,22
GR,137,0
GR,550,18
GR,2354,26
GR,2753,18
GR,1775,44
GR,2258,33
GR,444,16
GR,1702,113
GR,3549,109
GR,2238,88
GR,2036,99
GR,480,13
GR,8561,441
GR,8411,274
GR,2809,78
GR,2296,92
GR,1919,40
GR,192,a
GR,158,a
GR,585,a
GR,701,a
GR,878,a
GR,237,a
GR,804,a
GR,925,a
GR,1434,a
GR,1545,a
GR,341,a
GR,229,a
GR,181,a
GR,82,a
GR,83,a
GR,99,a
GR,75,a
GR,10,a
GR,22,a
GR,m,a
GR,m,a
GR,891,a
GR,1638,a
GR,4196,5
GR,182,0
HR,336,a
HR,783,4
HR,3855,3
HR,3476,54
HR,3718,52
HR,1103,22
HR,12758,476
HR,195,a
HR,711,a
HR,246,a
HR,176,a
HR,65,a
HR,81,a
HR,171,a
HR,333,a
HR,224,a
HR,236,a
HR,919,a
HR,387,a
HR,413,a
HR,184,a
HR,61,a
HR,97,a
HR,119,a
HR,61,a
HR,545,a
HR,221,a
HR,113,a
HR,246,a
HR,73,a
HR,148,a
HR,112,a
HR,177,a
HR,600,a
HR,51,a
HR,320,a
HR,571,a
HR,40,a
HR,58,a
HU,3042,39
HU,5510,113
HU,5788,166
HU,6581,237
HU,631,17
HU,279,19
HU,144,6
HU,1863,26
HU,261,0
HU,657,9
HU,1290,31
HU,3520,108
HU,1921,117
HU,2473,28
HU,4139,161
HU,2727,60
HU,159,22
HU,68,5
HU,142,2
HU,1732,6
HU,284,12
HU,1693,29
HU,2772,0
HU,2025,18
HU,377,a
HU,115,a
HU,1534,0
HU,116,a
HU,789,a
HU,35,a
HU,307,a
HU,81,a
HU,1076,a
HU,160,a
HU,505,a
HU,86,a
HU,814,a
HU,28,a
HU,60,a
HU,41,a
HU,31,a
HU,38,a
HU,46,a
HU,73,a
HU,60,a
HU,28,a
HU,256,a
HU,3166,24
HU,214,a
HU,660,a
HU,321,10
HU,441,3
IE,9783,339
IE,7083,219
IE,5960,171
IE,5652,319
IE,4023,72
IE,4538,96
IE,5302,139
IE,1986,5
IE,3643,18
IE,761,a
IE,1578,9
IE,1995,4
IE,3559,6
IE,1643,10
IE,998,0
IE,1261,0
IE,1890,4
IE,2516,26
IE,1967,18
IE,334,2
IE,1334,38
IE,483,a
IE,7961,60
IS,30,0
IS,132,a
IS,23,a
IS,144,a
IS,836,6
IS,463,a
IS,2730,90
IT,3267,121
IT,266,a
IT,4549,78
IT,2000,28
IT,8113,131
IT,877,24
IT,2461,a
IT,4033,50
IT,20714,389
IT,729,28
IT,215,0
IT,2836,59
IT,4270,116
IT,1160,47
IT,1694,30
IT,1506,8
IT,1661,32
IT,843,6
IT,6780,97
IT,1747,0
IT,5283,60
IT,1195,13
IT,3545,96
IT,10540,277
IT,199,a
IT,1874,30
IT,6845,281
IT,3510,57
IT,3292,76
IT,a,31
IT,2246,39
IT,4262,79
IT,1944,10
IT,12460,259
IT,13130,132
IT,5144,44
IT,12729,235
IT,830,42
IT,7715,142
IT,838,0
IT,5771,97
IT,2292,9
IT,5248,113
IT,14216,268
IT,1924,15
IT,2405,78
IT,9183,a
IT,13351,a
IT,14880,394
IT,7893,111
IT,5803,126
IT,18,10
IT,5522,163
IT,4748,94
IT,337,0
IT,a,79
IT,133,91
IT,9176,222
IT,929,35
IT,831,37
IT,246,0
IT,6624,153
IT,531,0
IT,3920,41
IT,2168,9
IT,581,15
IT,21674,878
IT,536,9
IT,7484,280
IT,300,0
IT,2240,6
IT,1852,a
IT,1003,s
IT,571,0
IT,675,a
IT,6322,113
IT,2432,54
IT,3535,102
IT,511,9
IT,1063,39
IT,7742,207
IT,15516,230
IT,116,a
IT,3789,231
IT,a,71
IT,3292,91
IT,3383,78
IT,3033,36
IT,2016,67
IT,5875,98
IT,1364,33
IT,2557,20
IT,5922,105
IT,1627,45
IT,153,a
IT,491,a
IT,177,a
IT,457,a
IT,48,a
IT,239,a
IT,188,a
